Open,High,Low,Close,Adj Close,Volume,Delta,to_predict
46311.74609375,47827.3125,46288.484375,47686.8125,47686.8125,24582667004,1375.06640625,1
47680.92578125,47881.40625,46856.9375,47345.21875,47345.21875,27951569547,-335.70703125,0
47343.54296875,47510.7265625,45835.96484375,46458.1171875,46458.1171875,33071628362,-885.42578125,0
46458.8515625,47406.546875,45752.46484375,45897.57421875,45897.57421875,42494677905,-561.27734375,0
45899.359375,46929.046875,42798.22265625,43569.00390625,43569.00390625,36851084859,-2330.35546875,0
43565.51171875,43748.71875,42645.5390625,43160.9296875,43160.9296875,30208048289,-404.58203125,0
43153.5703125,43153.5703125,41077.4453125,41557.90234375,41557.90234375,84196607520,-1595.66796875,0
41561.46484375,42228.94140625,40672.27734375,41733.94140625,41733.94140625,28066355845,172.4765625,1
41734.7265625,42663.94921875,41338.16015625,41911.6015625,41911.6015625,21294384372,176.875,1
41910.23046875,42199.484375,39796.5703125,41821.26171875,41821.26171875,32104232331,-88.96875,0
41819.5078125,43001.15625,41407.75390625,42735.85546875,42735.85546875,26327648900,916.34765625,1
42742.1796875,44135.3671875,42528.98828125,43949.1015625,43949.1015625,33499938689,1206.921875,1
43946.7421875,44278.421875,42447.04296875,42591.5703125,42591.5703125,47691135082,-1355.171875,0
42598.87109375,43346.6875,41982.6171875,43099.69921875,43099.69921875,23577403399,500.828125,1
43101.8984375,43724.671875,42669.03515625,43177.3984375,43177.3984375,18371348298,75.5,1
43172.0390625,43436.80859375,42691.0234375,43113.87890625,43113.87890625,17902097845,-58.16015625,0
43118.12109375,43179.390625,41680.3203125,42250.55078125,42250.55078125,21690904261,-867.5703125,0
42250.07421875,42534.40234375,41392.21484375,42375.6328125,42375.6328125,22417209227,125.55859375,1
42374.0390625,42478.3046875,41242.9140625,41744.328125,41744.328125,23091543258,-629.7109375,0
41744.02734375,43413.0234375,40672.82421875,40680.41796875,40680.41796875,20382033940,-1063.609375,0
40699.60546875,41060.52734375,35791.42578125,36457.31640625,36457.31640625,43011992031,-4242.2890625,0
36471.58984375,36688.8125,34349.25,35030.25,35030.25,39714385405,-1441.33984375,0
35047.359375,36433.3125,34784.96875,36276.8046875,36276.8046875,26017975951,1229.4453125,1
36275.734375,37247.51953125,33184.05859375,36654.328125,36654.328125,41856658597,378.59375,1
